video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"UKdGKm6nG5E","Fuerza Regida - Tu Sancho (Letra)","2025-08-03T19:00:24Z","UCFUf4c4_fgXfoNnvbEpcaeg","Keller Lyrics","10","25.05.08","[none]","203473","0","0","3","https://i.ytimg.com/vi/UKdGKm6nG5E/default.jpg","False","True","Tu Sancho - Fuerza Regida (Letra/Lyrics) #TuSancho #FuerzaRegidaEscucha el vídeo oficial: https://youtu.be/PXSmPTX-SgM?si=RsxDuddrz_Hj05S5🎧🎧 Sigue a Fuerza Regida:Spotify: https://open.spotify.com/artist/3iKBy9GAnZ7KDaiWJnEGvHYouTube: https://www.youtube.com/@FUERZAREGIDAInstagram: https://www.instagram.com/fuerzaregida/TikTok: https://www.tiktok.com/@fuerzaregida📢 No olvides suscribirte al canal para más lyrics de tus canciones favoritas 🔔Letra de la canción:Mi niña alista tu maleta ahoritaQuiero que te pongas bonitaYa le marqué al pinche piloto, ya dile al tonto que ya te vasCabrona, buena pa' mentirasY esa boquita me fascinaBaby, tú eres para un loco, y como este loco no hay como yoQué bonito chingarte en las nubes, bandidaEl piloto pura verga baja la miraTerminamos en treinta y llegamos a Ibiza, aterrizamos sin prisaMateriales son los que tú menos pedíasLos detalles enamoraron a mi niñaHoy te dejo una cuenta de banco en las Islas, tú date vueloQué bonita te miras, biеn mamacita sin calzónNo le cuentes a tu amiga quе la tengo como leónCalladita te ves más bonitaPa' mirarnos otra vez, que no lo sepa tu güeySin pedos te espero, peléate con tu güeyInvéntate una razón pa' que no lo haga de pedoNi pedo, sin pedo, ¿ya qué? (Eh, eh, eh)Qué bonito chingarte y más rico y de nocheUn palito en el aire y privado pa' LondresDiferentes mujeres de varios saboresNomás no te me aloquesMujeriego y coqueto, tengo mil amoresDe hace tiempo te busco, mas no sé ni en dóndeSi me quieres, tendrás que aguantar los rumoresNomás no te me aloquesEyFuerza RegidaJajaja¿Ah?Jaja"
"dSQ5g4d2DEk","[Official Trailer] REVAMP THE UNDEAD STORY","2025-08-05T08:00:46Z","UC8BzJM6_VbZTdiNLD4R1jxQ","GMMTV OFFICIAL​​","24","25.05.08","GMMTV|จีเอ็มเอ็ม ทีวี|GMM Grammy","89772","0","0","1396","https://i.ytimg.com/vi/dSQ5g4d2DEk/default.jpg","False","True","ปัณณ์ (เปรม-วรุศ) ชายหนุ่มเจ้าของร้านขายวัตถุโบราณได้รับการว่าจ้างจากเพื่อนสนิทให้ไปซ่อมภาพวาด แต่ปัณณ์กลับถูกเศษกระจกบาดจนเลือดไปเปื้อนกับภาพเขียนเข้าโดยไม่ตั้งใจ ทำให้ รามิล (บุ๋น-นพณัฐ) ทายาทคนสุดท้ายของตระกูลแวมไพร์ที่ถูกผนึกไว้ในภาพวาดมากกว่าร้อยปีฟื้นขึ้นมา ทว่ารามิลกลับไร้พลังและกำลังถูกกลุ่ม “ฮันเตอร์” นักล่าแวมไพร์ตามล่า ปัณณ์จึงจำเป็นต้องช่วยเหลือรามิลให้พลังของเขาฟื้นคืน ด้วยการออกตามหาบริวารตนอื่นๆ จนทำให้ความสัมพันธ์ของทั้งคู่ค่อยๆ พัฒนาขึ้น การเดินทางของปัณณ์ รามิล และกลุ่มฮันเตอร์ที่กำลังตามล่าครั้งนี้จะเป็นยังไง และความสัมพันธ์ระหว่างมนุษย์กับแวมไพร์จะสามารถรักกันได้ไหม ติดตามได้ใน “REVAMP THE UNDEAD STORY” ทุกวันเสาร์ เวลา 20:30 น. ทางช่อง GMM25 และดูออนไลน์ เวลา 21:30 น. บนแอป iQIYI และเว็บ iQ.com ที่เดียวเท่านั้น เริ่มตอนแรก 23 สิงหาคมนี้กำกับซีรีส์ : ศิวัจน์ สวัสดิ์มณีกุลรายชื่อนักแสดงบุ๋น นพณัฐ กันทะชัย   รับบท  รามิลเปรม วรุศ ชวลิตรุจิวงษ์   รับบท  ปัณณ์มาร์ค จิรันธนิน ตรัยรัตนยนต์  รับบท  เมธัสบาร์โค้ด ตฤณสิษฐ์ อิสระพงศ์พร  รับบท  คีอาร์อั๋น ณภัทร​ พัชรชวลิต   รับบท  เมฆิณเค เลิศสิทธิชัย            รับบท  เจตต์กระปุก พลอยนิรา หิรัญทวีศิลป์       รับบท  เอลีส์เอเจ ชยพล จุฑามาศ    รับบท  พอลเจเจ ชยกร จุฑามาศ    รับบท  แคสเตอร์แสตมป์ พนัชษ์กรณ์ ฤกษ์ศิริอารี รับบท  ปกป้อง#RevampSeriesติดตามทุกความเคลื่อนไหวของ GMMTV ได้ที่Facebook | https://www.facebook.com/GMMTVOFFICIALYouTube | https://www.youtube.com/GMMTVYouTube | https://www.youtube.com/GMMTVRECORDSInstagram | https://www.instagram.com/GMMTVX | https://twitter.com/GMMTVTikTok | https://www.tiktok.com/@gmmtvofficialWeibo | https://www.weibo.com/u/6146914790Threads | https://www.threads.net/@gmmtvWebsite | https://www.gmm-tv.com ติดต่อโฆษณา คุณชนิดา วงศ์ธนาภักดี โทร 02-669-8330 chanida.won@gmm-tv.com#GMMTV"
"2lHt4-S-brw","Probé 23 SECRETOS OCULTOS que NADIE CONOCE en STEAL a BRAINROT (Roba un Brainrot)","2025-08-04T21:10:33Z","UCbtLdlNCv721DvMBZrF5XSQ","SoyNeto","20","25.05.08","roblox rivals|roblox hacker|hacker|rivals hacks|roblox|pro rivals tips|pro rivals player roblox|rivals skills roblox|rivals actualizacion|secretos rivals actualizacion|skins gratis rivals|rivals skins|rivals skins gratis|rival skin gratis|brainrot|steal a brainrot|roba un brainrot|steal a brainrot neto","1764651","0","0","2064","https://i.ytimg.com/vi/2lHt4-S-brw/default.jpg","False","True","➡️ SIGUEME EN ROBLOX: https://www.roblox.com/users/924122577/profile?friendshipSourceType=PlayerSearch👾 DISCORD: SUSCRIBETE#roblox  #brainrot"
"gGRbRLelsvw","Eden Muñoz - Te Juro Que Te Amo (Lyric Video)","2025-08-05T00:00:06Z","UCC5_g6Hq0MBafjeRG10WdTw","edenmunozVEVO","10","25.05.08","latin|latin music|musica en español|mexico|video|video oficial|video con letra|lyric|lyrics video|video letra|letra de la canción|eden|eden muñoz|musica mexicana|mariachi|corrido|balada mariachi|musica mexa|banda|banda mexicana|te juro que te amo|te juro|que te amo|Dramatic|Emotional|Feeling Down|Melancholy|Norteño|Romantic|Sentimental","47965","0","0","241","https://i.ytimg.com/vi/gGRbRLelsvw/default.jpg","False","True","Eden Muñoz - Te Juro que Te Amo | Video con letraEscúchala y guárdala en plataformas› https://EdenMunoz.lnk.to/TeJuroQueTeAmoSigue a Eden Muñoz en› TikTok: https://www.tiktok.com/@edenmunoz1› Instagram: https://www.instagram.com/edenmunoz/?hl=en› Facebook: https://www.facebook.com/EdenMunozOficialLetra / LyricsTe juro que te amoAfuera está lloviendoPor dentro estoy temblandoPorque tú te vasMuy pronto partirásUn tren desconocido pronto tomarásNo queda mucho tiempoTe juro que te amoAhora estás llorandoMás por qué llorarSi es que tú volverásY todo aquello nuestro tú recordarásY mis sentimientosNo los cambiaré jamásAunque sufra este tormentoMe quedas túY mis sentimientosNo los cambiaré jamásAunque sufra este momentoMe quedas túAy-ay, chiquititaEs Eden MuñozY mis sentimientosNo los cambiaré jamásAunque sufra este tormentoMe quedas túY mis sentimientosNo los cambiaré jamásAunque sufra este momentoMe quedas tú#EdenMuñoz #TeJuroQueTeAmo #PiedrasALaLuna(C) 2025 Sony Music Entertainment México, S.A. de C.V. Bajo Distribución en Exclusiva por Eden Muñoz by EMC MUSIC, INC."
"qUj8-ULYNBc","¡SOBREVIVÍMOS 200 dias en la NIEVE! 💀❄️🦌 SILVIOGAMER en 99 Noches en el Bosque","2025-08-04T22:15:20Z","UCCrA8ZN1J3S52wuF4vthZFQ","Silvio Gamer","20","25.05.08","SILVIO|SILVIOGAMER|SILVIO GAMER|MINECRAFT|Silvio|silviogamer|silvio|silvio gamer|roblox|sobrevivi|sobreviví|dias|99 dias|99 days|99 days roblox|99 dias roblox|99 noches|99 noches en el bosque|99 dias en el bosque|bosque roblox|roblox 99 dias|roblox 99 noches|silviogamer roblox|silvio roblox|silvio gamer roblox|roblox silvio|pancracio|dany|sobrevivimos|sobrevivimos 99 dias|sobrevivimos 99 noches|en el boques|200 noches|nieve|200 dias|99 noches nieve","711130","0","0","3856","https://i.ytimg.com/vi/qUj8-ULYNBc/default.jpg","False","True","💥▬▬▬▬ Descripción epicarda de SILVIO ▬▬▬▬💥En el video de hoy sobreviviremos 200 NOCHES en la NIEVE... 💀❄️🦌🛒 TIENDA OFICIAL 👉🏻 https://silviogamer-shop.fourthwall.com/en-mxn⭐ UNETE A LA LEGION FRIJOL! 👉 https://www.youtube.com/SilvioGamer/join💛 SEGUNDO CANAL de DIRECTOS 👉 https://www.youtube.com/c/SilvioGamerHDv👨‍👩‍👦‍👦  Redes Sociales y contacto🔵 TWITTER / X: https://goo.gl/pSLZhK💙 FACEBOOK: https://www.facebook.com/Silvio-Gamer-111664561519774📸 INSTAGRAM: https://goo.gl/Mg1DqM💜 DISCORD: https://discord.com/invite/silviogamer💼 Contacto (Negocios) : SilvioGamer@adamantagency.com⭐ CORREO PARA FANS : silviogamersubs@gmail.com ⭐🔻MÚSICA:● Music from Epidemic Sounds http://www.epidemicsound.com/​● Bensound: https://www.bensound.com/royalty-free-music● Kevin MacLeod (incompetech.com) Licensed under Creative Commons: By https://creativecommons.org/licenses/by/3.0/⏰ TIEMPOS ⏰0:00​ INTRODUCCION0:57​ 200 NOCHES30:39 OUTRO"
"gefWde5v6Lk","LUZ VERDE","2025-08-04T15:32:37Z","UCg8UG6LnJGja1CQFl18f4dA","CLAVE ESPECIAL - Topic","10","25.05.08","Clave Especial|LUZ VERDE","81890","0","0","182","https://i.ytimg.com/vi/gefWde5v6Lk/default.jpg","False","True","Provided to YouTube by Cash Gold Records Group Inc.LUZ VERDE · Clave EspecialLUZ VERDE℗ 2025 Street Mob Records | A.T.B.Released on: 2025-08-04Main Artist: Clave EspecialProducer: Alejandro Ahumada NunezProducer: Leonardo LomeliProducer: Jesus Ortiz PazComposer Lyricist: Alejandro Ahumada NunezComposer Lyricist: Erick RiosAuto-generated by YouTube."
"-svi-DcelzU","Encontré una PUERTA GIGANTE a la LUNA MALDITA en Minecraft!","2025-08-04T19:11:37Z","UCEs5MQjXJq27-X2vgdwtYDw","Dagar","20","25.05.08","Minecraft|minecraft mod|dagar y nacho|nacho y dagar|amigos minecraft|dagar minecraft|minecraft dagar","625468","0","0","363","https://i.ytimg.com/vi/-svi-DcelzU/default.jpg","False","True","Hoy, Nacho y Dagar encuentran una PUERTA LARGA GIGANTE a la Luna se despierta en Minecraft! ¿Qué habrá ahí dentro? ¿Qué pasará? ¡Descúbrelo!#Minecraft #MinecraftMod #Dagar #NachoyDagar"
"6wcpNN4Vop8","Calle 24 - SUIZA","2025-08-03T17:40:40Z","UCz-rxehhsrMAyBEJdf4NG2w","TheGoodVibe","10","25.05.08","Calle 24 Suiza|Suiza Calle 24|Que me disculpen las otras por decir que eres la primera|Que por ti yo dejé la loquera que si prendo a las olas contigo|Quiero hacer el amor hasta que nos fusionemos|Llevarte pa' Suiza y allá nos casemos|Llevarte pa' Suiza|Suiza|suiza letra|suiza|Suiza Letra|Calle 24|calle 24|calle 24 suiza|suiza calle 24|Calle Suiza|Suiza Calle|calle suiza|suiza calle|letra|Pero tú no eres una más mami tú eres especial|Pero tú no eres una más","22448","0","0","7","https://i.ytimg.com/vi/6wcpNN4Vop8/default.jpg","False","True","Calle 24 - SUIZALlevarte pa' Suiza y allá nos casemosBecome our friend:https://www.facebook.com/allGoodvibehttps://www.youtube.com/GoodVibesAllDayhttps://soundcloud.com/allGoodvibehttps://www.instagram.com/good_vibe/https://open.spotify.com/user/thegoodfm(Letra/Lyrics):[Verso 1]Todo el día pegado al phone mandándote corazonesMe dicen: No te enamores, pero es tarde yaYo sé que escribo canciones hablando de desamoresPero tú no eres una más, mami, tú eres especial[Coro]Que me disculpen las otras por decir que eres la primeraQue por ti yo dejé la loquera, que si prendo a las olas contigoQuiero hacer el amor hasta que nos fusionemosLlevarte pa' Suiza y allá nos casemos[Interludio]Baby, y así suenaAsí suena nuestro amor de la calle, babyÓyeme, ey, mami[Verso 2]Te mando besos por el cel, ya mero voy a volverTe quiero hacer un bebé, ya que se acabe la giraBrillas sin quererlo hacer, la luna te tiene envidiaSi algún día pierdo la vida, vuelvo a buscarte otra vez[Coro]Que me disculpen las otras por decir que eres la primeraQue por ti yo dejé la loquera, que si prendo a las olas contigoQuiero hacer el amor hasta que nos fusionemosLlevarte pa' Suiza y allá nos casemos[Outro]Te voy a amar hasta que la luna se apagueHasta que cada flor se sequeEsto es para ti, chiquitaDe aquí hasta la luna, mamiTags:Suiza LetraCalle 24 SuizaSuiza Calle 24Que me disculpen las otras por decir que eres la primeraQue por ti yo dejé la loquera que si prendo a las olas contigoQuiero hacer el amor hasta que nos fusionemosLlevarte pa' Suiza y allá nos casemosLlevarte pa' Suiza Suiza#Calle24 #Suiza #Letra Contact:Ypmamusic@gmail.com"
"bcrOTWoUS_E","De CERO a HÉROE: Así logré el TOP 10 en Slither.io 💪","2025-08-04T21:54:44Z","UC52YgT6TITyBpck82V_N_8g","El Mariana","20","25.05.08","no swearing|slither.io|el mariana|elmariana|mariana|slitherio|gameplay slither.io|slither.io top 10|slither.io divertido|slither.io en español|juegos de serpientes|juego adictivo|gameplay gracioso|serpiente gigante|mejores momentos slither.io|top 10 slither|juego online|jalones de pelos slither.io|desmadre total|humor gamer|serpiente asesina|partida épica slither.io|me metí al top 10|slither logic|slither.io world record|slitherio funny monents","282735","0","0","340","https://i.ytimg.com/vi/bcrOTWoUS_E/default.jpg","False","True","¡Quiubole gente enferma! el día de hoy les traigo un vídeo de SLITHER.IO.¡Después de tanto desmadre y jalones de pelos, por fin llegamos al TOP 10! 🐍🔥Slither.io nunca perdona... pero esta vez, yo tampoco. Tras una partida llena de caos, choques, serpientes gigantes y momentos que casi me hacen tirar el teclado por la ventana, logré lo imposible: ¡meterme entre los 10 mejores! 💪😤Prepárate para ver giros épicos, muertes absurdas, gritos de desesperación y un final que no te puedes perder. Si alguna vez jugaste Slither.io, sabes que esto no fue nada fácil 😵‍💫✅ Dale like si alguna vez llegaste al top🗣️ Comenta cuántos jalones de pelo crees que me di#Slitherio #Gameplay #Top10 #Slither #ElMarianaSlitherDale LIKE al video si te gusta esta clase de contenido y SUSCRIBETE para llegar a los 10M que ya pronto llegaremos a esa meta :)► TWITCH:https://www.twitch.tv/elmariana► INSTAGRAM: https://www.instagram.com/elmarianaa/► DISCORD:https://discord.gg/tq5snzNARc► TWITTER: https://twitter.com/elmarianaa►CONTACTO:contacto@elmariana.com_______________________________________►Canción de la outro || EL MARIANA, GUADANOIS - ZAZA SWINGhttps://youtu.be/bjVAEGD1TQU_______________________________________►El editor de origen desconocido:https://twitter.com/HolaSoyAledo"
"ftfeDRZA5iE","Victor Valverde x JR Torres - El Mayor de Los Ranas (Letra)","2025-08-03T21:27:16Z","UCO_w8nCYegO_gXnsT_MjtQg","Big Sound","10","25.05.08","[none]","89504","0","0","5","https://i.ytimg.com/vi/ftfeDRZA5iE/default.jpg","False","True","✨¡Gracias por ver el video! Espero que te haya gustado!✨🎶🔔 No olvides activar las notificaciones para estar al tanto de futuros vídeos.🔊 ➡️ Recuerda ver el vídeo oficial por aquí:https://youtu.be/4Ez2wJnlwag?si=EBmPQ4KflIwcbRpp📝 Aquí te dejo la letra/lyrics:🗒Se miran zumbando en alr patrullandopuro kamikaze y nomás el terror sembrandode arriba p'abajo, ahí nos miran patrullandocero tolerancia pa'l que la ande cagandoya se las sabrita que no nos gustan las fallasla gorra de lado y la glockson viene eclipsadacon un toque bueno y a punta de carcajadasafirma pendientes, nunca se nos pasa nadala santa protege si salimos a toponesy al cien con los jefes, estamos a la puta ordenpa morir nacimos, siempre estamos a la ordeny uno de lavada si salimos a misionesy ahí nos ven pasarzumbando los ranas por el bulevarbien belicamente y bien clean nos veranque es rg anda por la capitalen uno y al tentónquedó comprobado la vez del jefe ratónque vamos de fresa, no tenemos compasióna punta de tostonazos traíamos el boludónay ya yaai!Y esta es la marca registrada compa victory afirmativo compa fidel viejillo, (a ya yai) pura doble vcero chingazos!Nos miran placosones encortados, el aparato a un ladocon un toque bueno y un perico de lavadosabandijas y ratas en corto los alineamos, yo los amarroy se siente el ambiente caliente, yo voy al frente con mi gentenunca me gusta mandar gentey se siente el ambiente caliente y el blindado siempre va a el frentesembrando el terror como siemprey ahí nos ven pasarzumbando los ranas por el bulevary el aparato en mano y el tostón atrásel mayor de los ranas siempre al frente vaen uno y al tentónquedó comprobado la vez del jefe ratónque vamos de fresa, no tenemos compasióna punta de tostonazos traíamos el boludón#victorvalverde  #jrtorres #elmayordelosranas  #letra #BigSound"
"QWyGO0X18VM","Nada para SALVAR a la PRINCESA en Roblox con Mandarina !!","2025-08-04T18:11:51Z","UC-cnbLlplnXA4oc7rR21qzg","Lyna","20","25.05.08","[none]","435567","0","0","451","https://i.ytimg.com/vi/QWyGO0X18VM/default.jpg","False","True","Nada para SALVAR a la PRINCESA en Roblox con Mandarina !! Like y suscríbete a @Lyna y @YoSoyMandarina ✨❤️CONSIGUE TUS ENTRADAS PARA BODA LYNIEL 🇦🇷 🇲🇽 🇨🇱 🇺🇾 Y SHOW LYNIEL 🇪🇸 aquí: https://linktr.ee/lynavallejos○ Conviértete en Miembro del canal ahora mismo: https://www.youtube.com/channel/UC-cnbLlplnXA4oc7rR21qzg/join○ Únete a mi canal de Whatsapp: https://whatsapp.com/channel/0029VaDE0nN2P59fRkPhF30P○ No olvides usar el código Lyna en la tienda de Robux ♥○ Escucha mi música en Spotify: https://open.spotify.com/intl-es/artist/52Nw4vEbVCypyzo5agInBI○ Discord Lyniel: https://discord.gg/lyniel✨ MIS LIBROS ✨○ Encuentra todos mis libros aquí: https://bit.ly/3yBgdCb○ Merchandising oficial:  http://bit.ly/LynaStore✨ SÍGUEME EN MIS REDES SOCIALES ✨○ Instagram: https://instagram.com/Lynavallejos○ Twitter: https://twitter.com/srtalyna○ Facebook: https://facebook.com/Lynayoutube○ TikTok: https://www.tiktok.com/@lynitavallejos○ TikTok de gaming: https://www.tiktok.com/@lynagamingyt"
